,날짜,거래량,변동 %
323,2019-09-09,44701000000,-0.58
324,2019-09-06,32841000000,-0.43
325,2019-09-05,47391000000,0.66
326,2019-09-04,48831000000,1.48
327,2019-09-03,63791000000,-0.53
328,2019-09-02,64391000000,2.0
329,2019-08-30,45831000000,1.81
330,2019-08-29,75081000000,-0.32
331,2019-08-28,90311000000,3.65
332,2019-08-27,54861000000,1.1
333,2019-08-26,53511000000,-4.9
334,2019-08-23,52111000000,-0.49
335,2019-08-22,57381000000,-0.65
336,2019-08-21,38641000000,2.01
337,2019-08-20,40651000000,1.95
338,2019-08-19,37451000000,0.57
339,2019-08-16,59151000000,-0.48
340,2019-08-14,54641000000,1.83
341,2019-08-13,54471000000,-1.15
342,2019-08-12,72761000000,-0.03
343,2019-08-09,83581000000,0.15
344,2019-08-08,94061000000,3.52
345,2019-08-07,132851000000,1.68
346,2019-08-06,131911000000,-3.09
347,2019-08-05,65821000000,-7.67
348,2019-08-02,38281000000,-2.52
349,2019-08-01,38041000000,-0.79
350,2019-07-31,39101000000,0.71
351,2019-07-30,33881000000,0.37
352,2019-07-29,37561000000,-3.15
353,2019-07-26,38891000000,-0.78
354,2019-07-25,32791000000,-1.09
355,2019-07-24,45601000000,-1.0
356,2019-07-23,43721000000,-0.77
357,2019-07-22,26691000000,-0.12
358,2019-07-19,64361000000,1.99
359,2019-07-18,44411000000,-0.48
360,2019-07-17,41111000000,-0.96
361,2019-07-16,54731000000,0.28
362,2019-07-15,51781000000,-0.64
363,2019-07-12,35011000000,0.33
364,2019-07-11,39621000000,1.54
365,2019-07-10,43011000000,1.02
366,2019-07-09,45211000000,-2.53
367,2019-07-08,60811000000,-3.05
368,2019-07-05,44741000000,0.93
369,2019-07-04,42631000000,-0.51
370,2019-07-03,56581000000,-0.23
371,2019-07-02,70131000000,-0.64
372,2019-07-01,126471000000,2.29
373,2019-06-28,55341000000,-2.01
374,2019-06-27,52281000000,-2.15
375,2019-06-26,32211000000,-0.05
376,2019-06-25,29771000000,-0.64
377,2019-06-24,29731000000,-0.87
378,2019-06-21,34181000000,-0.91
379,2019-06-20,34981000000,1.34
380,2019-06-19,39481000000,0.81
381,2019-06-18,43861000000,-0.95
382,2019-06-17,51631000000,-0.58
383,2019-06-14,98271000000,-0.71
384,2019-06-13,49751000000,-0.1
385,2019-06-12,37231000000,-0.74
386,2019-06-11,31441000000,1.19
387,2019-06-10,30001000000,0.46
388,2019-06-07,30031000000,0.8
389,2019-06-05,31351000000,0.11
390,2019-06-04,37231000000,0.56
391,2019-06-03,22731000000,0.07
392,2019-05-31,25561000000,1.38
393,2019-05-30,36831000000,-0.02
394,2019-05-29,33061000000,-2.04
395,2019-05-28,49351000000,2.11
396,2019-05-27,32091000000,0.04
397,2019-05-24,44151000000,-0.93
398,2019-05-23,30391000000,-1.88
399,2019-05-22,30801000000,0.0
400,2019-05-21,42041000000,-0.08
401,2019-05-20,29271000000,-1.85
402,2019-05-17,36551000000,-0.88
403,2019-05-16,36661000000,-1.71
404,2019-05-15,36401000000,2.78
405,2019-05-14,29741000000,-0.03
406,2019-05-13,30861000000,-2.68
407,2019-05-10,40711000000,-0.7
408,2019-05-09,49261000000,-2.62
409,2019-05-08,32961000000,-1.22
410,2019-05-07,37851000000,-1.18
411,2019-05-03,49011000000,0.19
412,2019-05-02,70321000000,0.05
413,2019-04-30,25711000000,0.38
414,2019-04-29,27451000000,1.52
415,2019-04-26,29521000000,-0.94
416,2019-04-25,29331000000,-0.96
417,2019-04-24,29911000000,-0.73
418,2019-04-23,28421000000,0.0
419,2019-04-22,30461000000,-0.05
420,2019-04-19,25111000000,1.56
421,2019-04-18,32211000000,-2.29
422,2019-04-17,33121000000,-0.0
423,2019-04-16,45511000000,0.21
424,2019-04-15,41861000000,-0.15
425,2019-04-12,43191000000,-0.4
426,2019-04-11,42841000000,1.04
427,2019-04-10,32151000000,0.34
428,2019-04-09,53071000000,0.7
429,2019-04-08,32761000000,-0.24
430,2019-04-05,39591000000,-0.79
431,2019-04-04,39841000000,-0.18
432,2019-04-03,35861000000,1.72
433,2019-04-02,33391000000,0.29
434,2019-04-01,34931000000,0.24
435,2019-03-29,58521000000,2.08
436,2019-03-28,41571000000,-0.82
437,2019-03-27,45791000000,-1.99
438,2019-03-26,33901000000,1.31
439,2019-03-25,48981000000,-2.55
440,2019-03-22,64511000000,-0.02
441,2019-03-21,40331000000,-1.08
442,2019-03-20,39631000000,0.12
443,2019-03-19,34421000000,-1.18
444,2019-03-18,36111000000,-0.02
445,2019-03-15,62231000000,-1.12
446,2019-03-14,61081000000,-1.19
447,2019-03-13,42151000000,-0.22
448,2019-03-12,43681000000,2.62
449,2019-03-11,32831000000,0.99
450,2019-03-08,28691000000,0.22
451,2019-03-07,35511000000,-1.71
452,2019-03-06,31441000000,-0.82
453,2019-03-05,37971000000,-0.32
454,2019-03-04,39711000000,2.39
455,2019-02-28,52091000000,-1.08
456,2019-02-27,26931000000,0.45
457,2019-02-26,26701000000,-0.32
458,2019-02-25,31221000000,1.14
459,2019-02-22,30991000000,-0.51
460,2019-02-21,33281000000,-0.64
461,2019-02-20,41441000000,0.78
462,2019-02-19,30011000000,0.39
463,2019-02-18,28951000000,0.94
464,2019-02-15,44431000000,-0.56
465,2019-02-14,45091000000,0.12
466,2019-02-13,36031000000,1.39
467,2019-02-12,29091000000,-0.71
468,2019-02-11,28681000000,0.95
469,2019-02-08,31411000000,-0.48
470,2019-02-07,33171000000,2.34
471,2019-02-01,32941000000,-0.17
472,2019-01-31,35201000000,0.53
473,2019-01-30,30781000000,0.78
474,2019-01-29,30981000000,-0.04
475,2019-01-28,56431000000,0.92
476,2019-01-25,28031000000,1.34
477,2019-01-24,30601000000,2.07
478,2019-01-23,32811000000,-0.6
479,2019-01-22,23841000000,-0.04
480,2019-01-21,34691000000,-1.15
481,2019-01-18,36741000000,1.79
482,2019-01-17,46521000000,-1.79
483,2019-01-16,21251000000,-0.3
484,2019-01-15,37631000000,0.93
485,2019-01-14,20601000000,-1.27
486,2019-01-11,22771000000,-0.21
487,2019-01-10,26481000000,0.79
488,2019-01-09,27361000000,1.68
489,2019-01-08,32351000000,-1.27
490,2019-01-07,36981000000,1.21
491,2019-01-04,39991000000,1.42
492,2019-01-03,30731000000,-2.58
493,2019-01-02,26361000000,-2.01
494,2018-12-28,26571000000,0.46
495,2018-12-27,26711000000,-0.93
496,2018-12-26,31591000000,0.68
497,2018-12-24,22911000000,-0.25
498,2018-12-21,22851000000,1.33
499,2018-12-20,24511000000,-0.41
500,2018-12-19,26341000000,2.82
501,2018-12-18,21821000000,-0.19
502,2018-12-17,23671000000,-0.57
503,2018-12-14,23781000000,-3.09
504,2018-12-13,28741000000,0.09
505,2018-12-12,19751000000,2.94
506,2018-12-11,25981000000,-1.91
507,2018-12-10,22561000000,-2.23
508,2018-12-07,19511000000,1.6
509,2018-12-06,26681000000,-3.49
510,2018-12-05,24741000000,-1.24
511,2018-12-04,24431000000,-0.71
512,2018-12-03,31991000000,2.6
513,2018-11-30,33121000000,0.32
514,2018-11-29,36211000000,-1.22
515,2018-11-28,25531000000,-0.39
516,2018-11-27,27651000000,0.53
517,2018-11-26,23831000000,2.71
518,2018-11-23,25521000000,-1.5
519,2018-11-22,29241000000,-0.35
520,2018-11-21,34701000000,1.29
521,2018-11-20,39301000000,-2.37
522,2018-11-19,32471000000,2.25
523,2018-11-16,33851000000,1.41
524,2018-11-15,32271000000,2.79
525,2018-11-14,34701000000,0.17
526,2018-11-13,40131000000,0.25
527,2018-11-12,40481000000,-3.47
528,2018-11-09,33251000000,-1.42
529,2018-11-08,39861000000,1.31
530,2018-11-07,42731000000,-1.74
531,2018-11-06,38541000000,-0.33
532,2018-11-05,32951000000,0.13
533,2018-11-02,47681000000,5.79
534,2018-11-01,49321000000,0.55
535,2018-10-31,35141000000,-1.12
536,2018-10-30,47861000000,2.23
537,2018-10-29,47031000000,-2.81
538,2018-10-26,44241000000,-3.23
539,2018-10-25,49841000000,-1.27
540,2018-10-24,50301000000,-2.78
541,2018-10-23,34461000000,-3.77
542,2018-10-22,28271000000,1.01
543,2018-10-19,45581000000,2.25
544,2018-10-18,21271000000,-1.81
545,2018-10-17,38471000000,0.92
546,2018-10-16,30551000000,1.68
547,2018-10-15,37021000000,-2.79
548,2018-10-12,36991000000,3.87
549,2018-10-11,51521000000,-4.58
550,2018-10-10,36591000000,-1.34
551,2018-10-08,29571000000,-0.96
552,2018-10-05,43021000000,-2.17
553,2018-10-04,32791000000,-0.38
554,2018-10-02,39531000000,-3.55
555,2018-10-01,33411000000,-0.55
556,2018-09-28,46731000000,-1.29
557,2018-09-27,44861000000,0.84
558,2018-09-21,35681000000,0.73
559,2018-09-20,95741000000,-0.67
560,2018-09-19,52961000000,-0.16
561,2018-09-18,49501000000,0.62
562,2018-09-17,70811000000,-0.68
563,2018-09-14,83841000000,0.27
564,2018-09-13,37781000000,0.96
565,2018-09-12,75721000000,1.77
566,2018-09-11,57431000000,0.13
567,2018-09-10,33121000000,-1.04
568,2018-09-07,84911000000,1.01
569,2018-09-06,72781000000,-0.53
570,2018-09-05,66051000000,-1.46
571,2018-09-04,37171000000,1.87
572,2018-09-03,42161000000,-0.42
573,2018-08-31,40461000000,2.48
574,2018-08-30,22321000000,0.16
575,2018-08-29,26801000000,0.74
576,2018-08-28,32671000000,-0.98
577,2018-08-27,32651000000,1.03
578,2018-08-24,27601000000,1.16
579,2018-08-23,28881000000,1.12
580,2018-08-22,33681000000,-0.56
581,2018-08-21,40021000000,3.24
582,2018-08-20,32781000000,-0.86
583,2018-08-17,39851000000,1.59
584,2018-08-16,32841000000,-0.06
585,2018-08-14,27241000000,0.96
586,2018-08-13,32771000000,-3.87
587,2018-08-10,28841000000,-0.44
588,2018-08-09,32661000000,1.21
589,2018-08-08,30471000000,-0.28
590,2018-08-07,48771000000,0.45
591,2018-08-06,60841000000,-1.35
592,2018-08-03,42271000000,1.18
593,2018-08-02,29571000000,-1.57
594,2018-08-01,35441000000,2.67
595,2018-07-31,34161000000,1.19
596,2018-07-30,28711000000,-1.15
597,2018-07-27,30721000000,0.87
598,2018-07-26,44191000000,2.57
599,2018-07-25,51621000000,-2.41
600,2018-07-24,40061000000,-0.19
601,2018-07-23,44161000000,-4.99
602,2018-07-20,43951000000,-0.78
603,2018-07-19,62691000000,-2.08
604,2018-07-18,37561000000,-1.03
605,2018-07-17,23781000000,-1.23
606,2018-07-16,19201000000,-0.68
607,2018-07-13,27181000000,0.98
608,2018-07-12,26571000000,2.72
609,2018-07-11,23731000000,-1.41
610,2018-07-10,27911000000,-0.57
611,2018-07-09,24591000000,0.43
612,2018-07-06,27461000000,2.54
613,2018-07-05,23561000000,-0.03
614,2018-07-04,26661000000,0.01
615,2018-07-03,35611000000,0.9
616,2018-07-02,33641000000,-3.41
617,2018-06-29,21711000000,1.76
618,2018-06-28,19291000000,-2.03
619,2018-06-27,23151000000,-0.56
620,2018-06-26,24161000000,-0.22
621,2018-06-25,21341000000,0.48
622,2018-06-22,29871000000,1.39
623,2018-06-21,34711000000,-2.16
624,2018-06-20,40901000000,4.27
625,2018-06-19,35491000000,-3.28
626,2018-06-18,41241000000,-2.95
627,2018-06-15,42881000000,0.16
628,2018-06-14,62441000000,-0.7
629,2018-06-12,31331000000,0.49
630,2018-06-11,24621000000,-0.24
631,2018-06-08,24021000000,-1.54
632,2018-06-07,32531000000,1.5
633,2018-06-05,36071000000,-0.06
634,2018-06-04,30601000000,-1.44
635,2018-06-01,26231000000,0.33
636,2018-05-31,35261000000,0.42
637,2018-05-30,35611000000,1.67
638,2018-05-29,40971000000,-1.56
639,2018-05-28,29471000000,-0.11
640,2018-05-25,36841000000,1.18
641,2018-05-24,31881000000,1.29
642,2018-05-23,35141000000,-0.44
643,2018-05-21,30711000000,0.32
644,2018-05-18,40341000000,1.7
645,2018-05-17,32431000000,0.98
646,2018-05-16,31611000000,0.08
647,2018-05-15,34601000000,1.02
648,2018-05-14,34181000000,-1.81
649,2018-05-11,43461000000,1.4
650,2018-05-10,35761000000,-0.17
651,2018-05-09,60221000000,4.79
652,2018-05-08,42091000000,-4.4
653,2018-05-04,33831000000,-2.26
654,2018-05-03,27841000000,-0.8
655,2018-05-02,42741000000,-1.18
656,2018-04-30,37871000000,-1.99
657,2018-04-27,26851000000,1.29
658,2018-04-26,28401000000,1.1
659,2018-04-25,41031000000,0.09
660,2018-04-24,55321000000,-1.08
661,2018-04-23,45601000000,-1.16
662,2018-04-20,40111000000,0.6
663,2018-04-19,50231000000,-1.95
664,2018-04-18,60611000000,-1.35
665,2018-04-17,49121000000,0.41
666,2018-04-16,47831000000,0.23
667,2018-04-13,65321000000,0.69
668,2018-04-12,94951000000,-0.97
669,2018-04-11,61361000000,0.53
