,날짜,거래량,변동 %
538,2018-10-26,111381000000,-1.51
539,2018-10-25,120411000000,-1.71
540,2018-10-24,99131000000,-0.43
541,2018-10-23,88691000000,-2.46
542,2018-10-22,62451000000,0.28
543,2018-10-19,74651000000,0.41
544,2018-10-18,68811000000,-0.92
545,2018-10-17,75391000000,1.14
546,2018-10-16,60611000000,-0.1
547,2018-10-15,73191000000,-0.78
548,2018-10-12,101671000000,1.53
549,2018-10-11,144521000000,-4.41
550,2018-10-10,117741000000,-0.71
551,2018-10-08,69771000000,-0.47
552,2018-10-05,93621000000,-0.17
553,2018-10-04,107331000000,-1.6
554,2018-10-02,86571000000,-1.21
555,2018-10-01,77261000000,-0.11
556,2018-09-28,111431000000,-0.69
557,2018-09-27,120501000000,0.59
558,2018-09-21,124341000000,0.59
559,2018-09-20,97941000000,0.81
560,2018-09-19,94201000000,0.18
561,2018-09-18,77061000000,0.29
562,2018-09-17,64921000000,-0.69
563,2018-09-14,83091000000,1.67
564,2018-09-13,98541000000,0.02
565,2018-09-12,87631000000,-0.04
566,2018-09-11,83411000000,-0.42
567,2018-09-10,84201000000,0.29
568,2018-09-07,90391000000,-0.48
569,2018-09-06,79881000000,-0.23
570,2018-09-05,81061000000,-1.29
571,2018-09-04,64651000000,0.44
572,2018-09-03,64701000000,-0.86
573,2018-08-31,107571000000,0.68
574,2018-08-30,80681000000,0.0
575,2018-08-29,81221000000,0.28
576,2018-08-28,84391000000,0.13
577,2018-08-27,85301000000,0.44
578,2018-08-24,70161000000,0.42
579,2018-08-23,73751000000,0.44
580,2018-08-22,81681000000,0.37
581,2018-08-21,79701000000,1.15
582,2018-08-20,74151000000,0.01
583,2018-08-17,67291000000,0.11
584,2018-08-16,93691000000,-0.98
585,2018-08-14,75901000000,0.42
586,2018-08-13,94721000000,-1.29
587,2018-08-10,94301000000,-1.27
588,2018-08-09,87041000000,0.07
589,2018-08-08,76311000000,0.0
590,2018-08-07,70321000000,0.66
591,2018-08-06,70151000000,-0.13
592,2018-08-03,63191000000,0.7
593,2018-08-02,75901000000,-1.72
594,2018-08-01,70931000000,0.42
595,2018-07-31,71871000000,0.05
596,2018-07-30,66421000000,-0.16
597,2018-07-27,71331000000,0.28
598,2018-07-26,93051000000,0.71
