,지역명,평균관광소요시간,기준연월,콘텐츠아이디,mapx,mapy,시군구명,제목
768,대전광역시,194.31861290322576,202107,945477,127.4589725875,36.3481671989,동구,우암사적공원
769,경상북도,138.88874193548386,202107,969044,129.3824960075,36.3590488112,영덕군,영덕대게마을
770,서울특별시,69.02596774193546,202107,970052,126.9951432926,37.5111915303,서초구,세빛섬
771,서울특별시,71.94461290322582,202107,970342,127.0122664646,37.5207129541,서초구,잠원한강공원
772,서울특별시,80.4879677419355,202107,970460,127.0969170819,37.5210783228,송파구,잠실한강공원
773,인천광역시,203.32545161290327,202107,973055,126.2617026051,37.7886351199,강화군,교동도(강화)
774,서울특별시,90.89938709677419,202107,987720,127.0227543748,37.5215324916,강남구,신사동 가로수길
775,부산광역시,156.29929032258062,202107,987810,129.1521809694,35.1539914381,해운대구,해운대 동백섬
776,경상북도,84.91890322580646,202107,988449,128.7601169125,36.5768149397,안동시,월영교
777,경상북도,136.10506451612903,202107,988459,129.3900036723,36.3592989277,영덕군,강구항
778,전라남도,209.36203225806446,202107,989046,126.2654237021,34.6873519741,해남군,화원 오시아노 관광단지
779,대구광역시,113.73683870967741,202107,998882,128.5747876309,35.8370983287,남구,안지랑 곱창골목
780,대구광역시,66.72803225806453,202107,998885,128.6048061121,35.8765360848,북구,대구 칠성시장&별별상상 칠성야시장
781,대구광역시,132.90145161290317,202107,998946,128.619271324,35.8830133956,동구,대구 평화시장
782,경기도,140.4925806451613,202107,1917062,126.8477755691,37.6309333062,고양시 덕양구,배다골테마파크
783,경기도,96.72099999999999,202107,1917066,126.7555775072,37.6638195002,고양시 일산동구,아쿠아플라넷 일산
784,제주특별자치도,144.42106451612906,202107,1918413,126.9026596819,33.4994309214,제주시,지미봉
785,제주특별자치도,181.69612903225809,202107,1918639,126.7986452003,33.55507864,제주시,월정리해변(월정리해수욕장)
786,제주특별자치도,90.62477419354838,202107,1918646,126.7595621037,33.4504840231,제주시,"거슨세미(세미오름, 샘오름)"
787,경기도,126.47770967741933,202107,1918731,126.6964349721,37.7878817668,파주시,헤이리 커피박물관
788,전라북도,160.74709677419358,202107,1920063,127.2590112336,35.9873437469,완주군,창포마을
789,충청남도,151.73258064516133,202107,1922640,126.7246689502,36.0297102165,서천군,국립생태원(서천)
790,경상북도,122.34651612903227,202107,1923400,129.0586854519,36.932707732,봉화군,백두대간협곡열차(V-트레인)
791,경기도,109.84351612903225,202107,1925403,126.9779446985,37.3192190497,수원시 장안구,해우재
792,인천광역시,90.40722580645162,202107,1925658,126.7670268897,37.4504306307,남동구,애보박물관
793,제주특별자치도,133.14180645161292,202107,1926379,126.3303574776,33.33717861,제주시,정물오름
794,충청북도,135.67003225806454,202107,1927149,128.2167323384,37.1412205869,제천시,교동민화마을
795,강원도,135.16332258064514,202107,1932003,128.6075711643,38.1821714439,속초시,외옹치해변
796,충청남도,155.55483870967745,202107,1935748,127.1632093633,36.7867171801,천안시 동남구,천안박물관
797,제주특별자치도,271.8309032258064,202107,1936039,126.4984786191,33.2299514354,서귀포시,서건도
798,충청남도,124.30961290322577,202107,1937012,126.665730045,36.0195159285,서천군,장항송림산림욕장 (장항 솔숲)
799,경상남도,225.3463870967742,202107,1937122,128.6253981676,34.8763850895,거제시,포로수용소유적박물관
800,충청북도,120.70006451612905,202107,1938398,127.4943001086,36.6472835628,청주시 청원구,수암골 벽화마을
801,충청북도,266.52245161290324,202107,1938403,127.4557829957,36.7881222485,진천군,진천공예마을
802,충청북도,173.06150000000008,202107,1938407,127.4921389449,36.6562074996,청주시 청원구,청주에듀피아
803,부산광역시,72.04777419354838,202107,1939570,129.2620863764,35.3160142193,기장군,임랑해수욕장
804,충청북도,120.35267741935488,202107,1940660,127.5580054049,36.3481689657,옥천군,부소담악(추소정)
805,부산광역시,151.4150645161291,202107,1945309,129.122795481,35.1231360145,남구,이기대 (부산 국가지질공원)
806,강원도,85.02993548387094,202107,1947118,127.7121081291,37.8156581406,춘천시,강촌레일파크 (김유정레일바이크)
807,충청북도,77.58316129032258,202107,1948361,127.8400381811,36.7600768797,괴산군,산막이옛길
808,광주광역시,124.14493548387094,202107,1955610,126.7452151113,35.235848024,광산구,월봉서원
809,대구광역시,104.10748387096776,202107,1956986,128.4656569453,35.6866661174,달성군,국립대구과학관
810,강원도,276.29822580645157,202107,1957499,128.6866415891,37.6487487373,평창군,대관령 관광특구
811,경상북도,374.84977419354834,202107,1957631,129.3394363224,36.7203318663,울진군,백암온천 관광특구
812,충청남도,292.9088064516129,202107,1958051,126.8859654775,36.7661174346,아산시,아산시 온천 관광특구
813,충청북도,291.4632258064516,202107,1958101,128.0679241299,36.8295230942,충주시,수안보온천 관광특구
814,경상북도,317.56958064516135,202107,1958867,128.7540802811,36.2271629776,의성군,빙계서원
815,경기도,115.92332258064515,202107,1967028,127.1280136296,37.3468240937,성남시 분당구,대광사(성남)
816,대구광역시,61.351096774193564,202107,1970821,128.4786857057,35.8110967282,달성군,사문진 주막촌
817,충청남도,128.97267741935482,202107,1977629,126.9141947382,36.4097922121,청양군,알프스마을
818,서울특별시,125.09841935483871,202107,1979613,126.720173278,35.9854263082,양천구,신영시장
819,경상남도,69.51183870967739,202107,1992063,128.038429109,34.7997832142,남해군,남해 파독전시관
820,전라북도,117.22632258064519,202107,1994606,126.5865669591,35.5026206801,고창군,선운산 생태숲
821,부산광역시,140.1814193548387,202107,1997221,129.0106253789,35.0975007038,사하구,부산 감천문화마을
822,전라남도,83.46503225806453,202107,1997322,127.7468441888,34.7721228887,여수시,여수 해양레일바이크
823,경상남도,125.90477419354843,202107,1998842,128.0743782548,34.9259197179,사천시,박재삼 문학관
824,경상남도,279.04061290322585,202107,2001650,128.7014926256,34.8358937646,거제시,거제씨월드
825,경기도,109.0524193548387,202107,2002467,126.753793199,37.506435,부천시,부천 동물테마파크 하이주
826,경기도,141.209935483871,202107,2002472,126.7434592834,37.6597947532,고양시 일산서구,일산 동물의 왕국
