,시도코드,시도명,기준연월일,요일구분코드,요일구분명,관강객구분코드,관광객구분명,관광객수
293,48,경상남도,20210719,1,월요일,3,외국인(c),2094.0648779759704
294,50,제주특별자치도,20210719,1,월요일,1,현지인(a),533722.0
295,50,제주특별자치도,20210719,1,월요일,2,외지인(b),186518.5
296,50,제주특별자치도,20210719,1,월요일,3,외국인(c),1623.7557177798676
297,11,서울특별시,20210718,7,일요일,1,현지인(a),3899339.5
298,11,서울특별시,20210718,7,일요일,2,외지인(b),1035982.5
299,11,서울특별시,20210718,7,일요일,3,외국인(c),4905.517507589851
300,26,부산광역시,20210718,7,일요일,1,현지인(a),1275057.0
301,26,부산광역시,20210718,7,일요일,2,외지인(b),380170.0
302,26,부산광역시,20210718,7,일요일,3,외국인(c),1976.7575286916622
303,27,대구광역시,20210718,7,일요일,1,현지인(a),1079190.0
304,27,대구광역시,20210718,7,일요일,2,외지인(b),261831.5
305,27,대구광역시,20210718,7,일요일,3,외국인(c),342.1163383838385
306,28,인천광역시,20210718,7,일요일,1,현지인(a),1126412.0
307,28,인천광역시,20210718,7,일요일,2,외지인(b),407312.5
308,28,인천광역시,20210718,7,일요일,3,외국인(c),3559.6710317962993
309,29,광주광역시,20210718,7,일요일,1,현지인(a),723971.5
310,29,광주광역시,20210718,7,일요일,2,외지인(b),164916.5
311,29,광주광역시,20210718,7,일요일,3,외국인(c),134.12324503311257
312,30,대전광역시,20210718,7,일요일,1,현지인(a),634529.0
313,30,대전광역시,20210718,7,일요일,2,외지인(b),199500.0
314,30,대전광역시,20210718,7,일요일,3,외국인(c),242.34512641673896
315,31,울산광역시,20210718,7,일요일,1,현지인(a),452042.5
316,31,울산광역시,20210718,7,일요일,2,외지인(b),140619.5
317,31,울산광역시,20210718,7,일요일,3,외국인(c),708.1659959803485
318,36,세종특별자치시,20210718,7,일요일,1,현지인(a),140056.0
319,36,세종특별자치시,20210718,7,일요일,2,외지인(b),79709.0
320,36,세종특별자치시,20210718,7,일요일,3,외국인(c),72.17333333333335
321,41,경기도,20210718,7,일요일,1,현지인(a),5469915.5
322,41,경기도,20210718,7,일요일,2,외지인(b),1646291.5
323,41,경기도,20210718,7,일요일,3,외국인(c),5462.8880331203345
324,42,강원도,20210718,7,일요일,1,현지인(a),913832.5
325,42,강원도,20210718,7,일요일,2,외지인(b),619178.0
326,42,강원도,20210718,7,일요일,3,외국인(c),419.805681063123
327,43,충청북도,20210718,7,일요일,1,현지인(a),706328.0
328,43,충청북도,20210718,7,일요일,2,외지인(b),348992.0
329,43,충청북도,20210718,7,일요일,3,외국인(c),350.2578773411677
330,44,충청남도,20210718,7,일요일,1,현지인(a),939904.0
331,44,충청남도,20210718,7,일요일,2,외지인(b),504549.5
332,44,충청남도,20210718,7,일요일,3,외국인(c),942.3059389363106
333,45,전라북도,20210718,7,일요일,1,현지인(a),941283.0
334,45,전라북도,20210718,7,일요일,2,외지인(b),302795.5
335,45,전라북도,20210718,7,일요일,3,외국인(c),542.9500541418511
336,46,전라남도,20210718,7,일요일,1,현지인(a),853702.5
337,46,전라남도,20210718,7,일요일,2,외지인(b),410375.0
338,46,전라남도,20210718,7,일요일,3,외국인(c),1736.9334816082117
339,47,경상북도,20210718,7,일요일,1,현지인(a),1277818.5
340,47,경상북도,20210718,7,일요일,2,외지인(b),619724.0
341,47,경상북도,20210718,7,일요일,3,외국인(c),701.595576957374
342,48,경상남도,20210718,7,일요일,1,현지인(a),1404543.0
343,48,경상남도,20210718,7,일요일,2,외지인(b),504798.0
344,48,경상남도,20210718,7,일요일,3,외국인(c),2107.143749547331
345,50,제주특별자치도,20210718,7,일요일,1,현지인(a),494588.5
346,50,제주특별자치도,20210718,7,일요일,2,외지인(b),185909.5
347,50,제주특별자치도,20210718,7,일요일,3,외국인(c),1671.6215609756096
348,11,서울특별시,20210727,2,화요일,1,현지인(a),4402352.5
349,11,서울특별시,20210727,2,화요일,2,외지인(b),1231041.0
350,11,서울특별시,20210727,2,화요일,3,외국인(c),4702.212723147185
351,26,부산광역시,20210727,2,화요일,1,현지인(a),1358791.0
352,26,부산광역시,20210727,2,화요일,2,외지인(b),339479.0
353,26,부산광역시,20210727,2,화요일,3,외국인(c),2523.866452994312
354,36,세종특별자치시,20210720,2,화요일,1,현지인(a),151536.0
355,36,세종특별자치시,20210720,2,화요일,2,외지인(b),66748.5
356,36,세종특별자치시,20210720,2,화요일,3,외국인(c),89.8359375
357,41,경기도,20210720,2,화요일,1,현지인(a),6004985.0
358,41,경기도,20210720,2,화요일,2,외지인(b),1350447.0
359,41,경기도,20210720,2,화요일,3,외국인(c),7463.819904673796
360,42,강원도,20210720,2,화요일,1,현지인(a),994672.0
361,42,강원도,20210720,2,화요일,2,외지인(b),349671.0
362,42,강원도,20210720,2,화요일,3,외국인(c),484.46278026905827
363,43,충청북도,20210720,2,화요일,1,현지인(a),783818.0
364,43,충청북도,20210720,2,화요일,2,외지인(b),241034.5
365,43,충청북도,20210720,2,화요일,3,외국인(c),610.4454314259762
366,44,충청남도,20210720,2,화요일,1,현지인(a),1054672.5
367,44,충청남도,20210720,2,화요일,2,외지인(b),332913.0
368,44,충청남도,20210720,2,화요일,3,외국인(c),918.372062205466
369,45,전라북도,20210720,2,화요일,1,현지인(a),1030606.5
370,45,전라북도,20210720,2,화요일,2,외지인(b),197900.5
371,45,전라북도,20210720,2,화요일,3,외국인(c),534.1841732070365
372,46,전라남도,20210720,2,화요일,1,현지인(a),955549.0
373,46,전라남도,20210720,2,화요일,2,외지인(b),284987.5
374,46,전라남도,20210720,2,화요일,3,외국인(c),1636.857209944752
375,47,경상북도,20210720,2,화요일,1,현지인(a),1415067.5
376,47,경상북도,20210720,2,화요일,2,외지인(b),394030.0
377,47,경상북도,20210720,2,화요일,3,외국인(c),1156.0751974040013
378,48,경상남도,20210720,2,화요일,1,현지인(a),1556030.0
379,48,경상남도,20210720,2,화요일,2,외지인(b),357059.5
380,48,경상남도,20210720,2,화요일,3,외국인(c),2093.673168339243
381,50,제주특별자치도,20210720,2,화요일,1,현지인(a),537484.5
382,50,제주특별자치도,20210720,2,화요일,2,외지인(b),185234.0
383,50,제주특별자치도,20210720,2,화요일,3,외국인(c),2234.144250290023
384,11,서울특별시,20210725,7,일요일,1,현지인(a),3841309.5
385,11,서울특별시,20210725,7,일요일,2,외지인(b),1099000.0
386,11,서울특별시,20210725,7,일요일,3,외국인(c),4612.344128260759
387,26,부산광역시,20210725,7,일요일,1,현지인(a),1238356.0
388,26,부산광역시,20210725,7,일요일,2,외지인(b),382018.0
389,26,부산광역시,20210725,7,일요일,3,외국인(c),2560.274637170222
390,27,대구광역시,20210725,7,일요일,1,현지인(a),1058655.5
391,27,대구광역시,20210725,7,일요일,2,외지인(b),262279.5
392,27,대구광역시,20210725,7,일요일,3,외국인(c),295.2588367052024
393,28,인천광역시,20210725,7,일요일,1,현지인(a),1099770.0
394,28,인천광역시,20210725,7,일요일,2,외지인(b),413885.5
395,28,인천광역시,20210725,7,일요일,3,외국인(c),3035.9865096236726
396,29,광주광역시,20210725,7,일요일,1,현지인(a),709579.5
397,29,광주광역시,20210725,7,일요일,2,외지인(b),169876.0
398,29,광주광역시,20210725,7,일요일,3,외국인(c),184.79224806201555
399,30,대전광역시,20210725,7,일요일,1,현지인(a),615191.5
400,30,대전광역시,20210725,7,일요일,2,외지인(b),193343.5
401,30,대전광역시,20210725,7,일요일,3,외국인(c),234.3707561342013
402,31,울산광역시,20210725,7,일요일,1,현지인(a),446117.0
403,31,울산광역시,20210725,7,일요일,2,외지인(b),151802.0
404,31,울산광역시,20210725,7,일요일,3,외국인(c),1004.6224066390039
405,36,세종특별자치시,20210725,7,일요일,1,현지인(a),133427.0
406,36,세종특별자치시,20210725,7,일요일,2,외지인(b),72866.5
